GLOW GIRL EARNINGS MODEL — "What If You Build It?"
,,,,,
ASSUMPTIONS,,,,,
Average product price,$65,,,,
Your personal sales/month,20 units,,,,
Your recruits' avg sales/month,12 units,,,,
Their recruits' avg sales/month,8 units,,,,
Commission rates,25% personal | 10% L1 match | 5% L2 override,,,,
,,,,,
=== MONTH 1-3: JUST YOU (Hustling Solo) ===,,,,,
,Units Sold,Revenue,Rate,Your Earnings,
Your personal sales,20,"$1,300",25%,$325,
MONTHLY TOTAL,,,,$325,
,,,,,
=== MONTH 4-6: YOU + 3 RECRUITS ===,,,,,
,Units Sold,Revenue,Rate,Your Earnings,
Your personal sales,20,"$1,300",25%,$325,
Recruit 1 sales,12,$780,10%,$78,
Recruit 2 sales,12,$780,10%,$78,
Recruit 3 sales,12,$780,10%,$78,
MONTHLY TOTAL,,,,$559,
,,,,,
=== MONTH 7-12: YOU + 3 RECRUITS + 6 L2s (each recruit got 2 people) ===,,,,,
,Units Sold,Revenue,Rate,Your Earnings,
Your personal sales,20,"$1,300",25%,$325,
3 Recruits (L1),36,"$2,340",10%,$234,
6 L2 sellers,48,"$3,120",5%,$156,
MONTHLY TOTAL,,,,$715,
,,,,,
=== YEAR 2: YOU + 5 RECRUITS + 15 L2s (each recruit got 3 people) ===,,,,,
,Units Sold,Revenue,Rate,Your Earnings,
Your personal sales,20,"$1,300",25%,$325,
5 Recruits (L1),60,"$3,900",10%,$390,
15 L2 sellers,120,"$7,800",5%,$390,
MONTHLY TOTAL,,,,$1105,
,,,,,
=== DREAM SCENARIO YEAR 3: YOU + 8 RECRUITS + 32 L2s ===,,,,,
,Units Sold,Revenue,Rate,Your Earnings,
Your personal sales,25,"$1,625",25%,$406,
8 Recruits (L1),96,"$6,240",10%,$624,
32 L2 sellers,256,"$16,640",5%,$832,
MONTHLY TOTAL,,,,"$1,862",
,,,,,
,,,,,
=== ANNUAL EARNINGS SUMMARY ===,,,,,
Phase,Monthly,Annual,Team Size,Total Team Revenue/mo,
Solo (Mo 1-3),$325,"$3,900",1,"$1,300",
Small team (Mo 4-6),$559,"$6,708",4,"$3,640",
Growing (Mo 7-12),$715,"$8,580",10,"$6,760",
Strong team (Yr 2),"$1,105","$13,260",21,"$13,000",
Dream (Yr 3),"$1,862","$22,344",41,"$24,505",
,,,,,
=== WHAT YOUR RECRUITS EARN (Their perspective) ===,,,,,
Scenario,Monthly,Annual,Note,,
Solo seller (12 units/mo),$195,"$2,340",Just selling no recruiting,,
With 2 recruits,$275,"$3,300",Selling + L1 match on 2 people,,
With 3 recruits + 6 L2s,$546,"$6,552",Full team built out,,
,,,,,
=== COMPANY PAYOUT CHECK ===,,,,,
Dream scenario total team revenue/mo,,"$24,505",,,
Your earnings,,"$1,862",7.6% of revenue,,
All L1 earnings (8 × ~$275),,"$2,200",9.0% of revenue,,
All L2 earnings (32 × $195),,"$6,240",25.5% of revenue,,
Total commission paid,,"$10,302",42.0% of revenue,,
Company keeps,,"$14,203",58.0% of revenue,,
