FOUNDING GLOW GIRL — PATH TO $1M+ (Assuming Strong Execution)
,,,,,,
=== COMPANY GROWTH ASSUMPTIONS ===,,,,,,
,Year 1,Year 2,Year 3,Year 4,,
Total Glow Girls,200,"2,000","10,000","25,000",,
Avg monthly PV per Girl,$600,$650,$700,$750,,
Monthly company revenue,"$120,000","$1,300,000","$7,000,000","$18,750,000",,
Annual company revenue,"$1,440,000","$15,600,000","$84,000,000","$225,000,000",,
,,,,,,
=== YOUR ORG GROWTH (as 1 of the founding 20) ===,,,,,,
,Year 1,Year 2,Year 3,Year 4,,
Your personal recruits (L1),8,15,25,30,,
L2 (your recruits' recruits),20,80,250,500,,
L3,0,60,400,"1,200",,
L4,0,15,300,"1,500",,
L5,0,0,100,800,,
L6,0,0,25,400,,
L7,0,0,5,200,,
Total org size,28,170,"1,105","4,630",,
Your org's total monthly GV,"$16,800","$110,500","$773,500","$3,472,500",,
Directors in your org,0,2,8,20,,
,,,,,,
=== YOUR MONTHLY EARNINGS BREAKDOWN ===,,,,,,
,,,,,,
Income Stream,Year 1,Year 2,Year 3,Year 4,Rate,
,,,,,,
Personal sales (25%),,$150,$163,$175,$188,25% × 20 units × $65 avg
,,,,,,
L1 override (10%),"$3,120","$5,850","$9,750","$11,700",10% × L1 reps × avg PV
L2 override (5%),"$600","$2,600","$8,125","$16,250",5% × L2 reps × avg PV
L3 override (4%),$0,"$1,560","$11,200","$36,000",4% × L3 × avg PV
L4 override (3%),$0,$293,"$6,300","$33,750",3% × L4 × avg PV
L5 override (2%),$0,$0,"$1,400","$12,000",2% × L5 × avg PV
L6 override (1%),$0,$0,$175,"$3,000",1% × L6 × avg PV
L7 override (1%),$0,$0,$35,"$1,500",1% × L7 × avg PV
SUBTOTAL OVERRIDES,"$3,720","$10,303","$36,985","$114,200",,
,,,,,,
Gen 1 bonus (3% on Director legs),,$0,"$3,315","$23,205","$104,175",3% × Director legs' GV
Gen 2 bonus (2%),,$0,$0,"$3,800","$20,000",2% × sub-Director legs' GV
Gen 3 bonus (1%),,$0,$0,$500,"$5,000",1%
SUBTOTAL GENERATION BONUSES,,$0,"$3,315","$27,505","$129,175",,
,,,,,,
Leadership pool (Director+),,$0,"$6,500","$35,000","$93,750","1-4% of company revenue ÷ # of ranked leaders"
,,,,,,
Founding 20 bonus (1% company rev),,$600,"$6,500","$35,000","$93,750",1% of company revenue ÷ 20
,,,,,,
=== MONTHLY TOTAL ===,,"$4,470","$26,780","$134,665","$431,063",,
=== ANNUAL TOTAL ===,,"$53,640","$321,365","$1,615,980","$5,172,750",,
,,,,,,
,,,,,,
=== THE PITCH SUMMARY ===,,,,,,
Year,Annual Earnings,What It Looks Like,,,,
Year 1,"$53,640","Solid side income — replaces a part-time job",,,,
Year 2,"$321,365","Six figures — this is now your career",,,,
Year 3,"$1,615,980","Millionaire. You bought in at the ground floor.",,,,
Year 4,"$5,172,750","Generational wealth. The founding 20 are set for life.",,,,
,,,,,,
=== WHY FIRST MOVERS WIN ===,,,,,,
1,"You sit at the top of the deepest trees — every Glow Girl who joins flows under one of the 20 founders",,,,,,
2,"The Founding 20 bonus (1% of ALL company revenue forever) grows with the company — not with your personal effort",,,,,,
3,"By Year 3 you've locked Director+ rank which gives you generation bonuses on unlimited depth",,,,,,
4,"Later joiners can still earn great money but they'll never have 4000+ people beneath them",,,,,,
