GLOW BEAUTY — COMPENSATION PLAN (DESIGNED FOR FIRST MOVERS)
,,,,,
=== 1. RETAIL COMMISSION (everyone) ===,,,,,
Rate,25%,,,,
Note,"Every Glow Girl earns 25% on every product she sells, always",,,,
,,,,,
=== 2. TEAM OVERRIDES (7 levels deep — unlocked by rank) ===,,,,,
Level,Override %,Rank Required To Unlock,,,
L1 (your direct recruits),10%,Starter (recruit 1),,,
L2,5%,Builder (recruit 3),,,
L3,4%,Leader (recruit 5 + $5k GV),,,
L4,3%,Director ($25k GV),,,
L5,2%,Senior Director ($75k GV),,,
L6,1%,VP ($200k GV),,,
L7,1%,Founder's Circle ($500k GV),,,
Total override if all levels unlocked,26%,,,,
,,,,,
=== 3. GENERATION BONUSES (when your downline leaders hit Director+) ===,,,,,
Generation,Bonus %,What triggers it,,,
Gen 1,3%,"First Director-or-above in each leg — you earn 3% on their ENTIRE leg's GV",,,
Gen 2,2%,"Second Director below the first — you earn 2% on THEIR sub-leg",,,
Gen 3,1%,"Third Director deep — 1% on their sub-leg",,,
Note,"This is what replaces compressed overrides and has NO depth limit",,,
,,,,,
=== 4. LEADERSHIP POOL (top ranks share company revenue) ===,,,,,
Rank,Pool Share,How it works,,,
Director,1% of company revenue,Split equally among all Directors,,,
Senior Director,+1% of company revenue,Gets Director pool + Senior pool,,,
VP,+1% of company revenue,Gets all three pools,,,
Founder's Circle,+1% of company revenue,Gets all four pools,,,
Total set aside for pools,4% of company revenue,,,,
,,,,,
=== 5. FOUNDING 20 BONUS (first 20 Glow Girls only — FOREVER) ===,,,,,
Bonus,1% of total company revenue,,,,
Split among,The original 20 founding Glow Girls,,,,
Duration,Lifetime — as long as they stay active ($500 PV/mo minimum),,,,
Note,"This is the golden handcuff. These 20 women will NEVER leave.",,,
,,,,,
=== TOTAL COMPANY PAYOUT BUDGET ===,,,,,
Component,Max %,Notes,,,
Retail commission,25%,Paid to direct seller,,,
Team overrides,26%,Across 7 levels (not all reps unlock all levels),,,
Generation bonuses,~6%,Paid to leaders with Director+ downlines,,,
Leadership pools,4%,Shared among ranked leaders,,,
Founding 20 bonus,1%,Shared among 20 founders,,,
THEORETICAL MAX,62%,"Actual will be ~45-50% because most reps won't unlock all levels",,,
